221 54 519 1582
73 1590 138 0
68 147 642 757
927 1241 969 0
1164 345 599 215
343 354 716 0
789 1133 426 1546
1597 320 1350 0
443 713 854 443
178 602 643 0
111 482 501 491
978 61 628 0
106 253 856 0
93 75 1242 0
1338 198 0 0
848 305 554 158
489 550 1338 0
1419 1164 1612 0
1402 1017 245 1232
839 1330 1066 116
358 90 517 1602
352 1307 120 0
1067 152 126 0
953 140 681 0
1464 1036 723 0
1597 822 73 1162
943 1601 443 0
676 923 788 0
0 1123 425 127
792 1 144 0
18 1203 1121 0
1597 969 1218 0
1026 223 431 1467
979 969 762 823
847 514 587 1123
1551 797 1480 1033
405 109 215 0
0 1148 813 1232
75 1232 1143 1241
7 89 57 599
1303 238 1066 0
772 1241 1599 0
676 818 814 0
109 466 73 847
209 121 29 0
367 1232 198 1052
75 1519 1445 0
20 0 75 0
14 1026 592 124
94 91 1080 0
971 654 762 0
552 249 1296 0
77 286 602 0
573 897 628 0
562 872 1564 0
1471 517 345 1261
479 152 856 0
118 1241 213 1464
1089 1194 882 60
1334 1307 671 0
1597 916 1228 913
202 48 431 716
182 1096 1494 316
886 265 0 0
116 1241 1228 0
886 1114 152 0
1419 633 847 0
1251 1521 670 401
762 1303 676 0
0 7 55 0
1347 202 574 910
793 191 202 75
85 1590 1206 0
663 1289 84 0
61 749 882 486
515 68 1026 0
252 1313 57 384
590 1597 1232 1135
2 1466 1246 386
90 412 792 1206
676 99 197 1069
823 50 99 334
1376 1261 178 0
1501 183 1173 75
164 10 99 1317
1052 514 238 90
447 779 1364 1521
1107 1613 326 123
1484 1211 905 252
757 756 497 90
206 26 1173 0
642 856 1612 1144
1241 97 1327 0
659 1123 652 1044
976 1241 633 367
766 1091 1246 0
70 212 643 85
128 427 0 0
905 75 664 1386
2 712 1329 0
834 121 151 1199
411 1505 1463 560
199 1241 1463 134
976 991 308 125
838 263 738 0
1501 1531 215 1303
976 553 0 0
508 128 1369 0
126 708 215 0
1052 756 145 1056
668 269 1509 0
994 127 70 996
753 3 687 0
966 1308 674 0
882 1323 856 75
