,AGEGROUP,SEX,INDUSTRY,xo_c,yo_c,xd_c,yd_c,indexes,dest_sa,orig_sa,0,1,2,3,4,5,6,distance,cum_dist
0,11,male,arts,153.43937727514418,-27.530496436540226,153.28341310569087,-27.30034642723117,4669,30204104509,30101100442,30101100442,30204104509,30202102820,30304106809,30202102711,0,0,0.24951001654869212,0.6179861187242581
1,4,female,retail,153.08426307800966,-27.58764235049757,153.3296489495515,-27.45716404536537,560,30301104813,30302105340,30302105340,30301104813,0,0,0,0,0,0.04914800855947831,0.04914800855947831
2,12,male,other,153.0311227614053,-27.52649856682953,153.26763042884036,-27.62982118680125,449,30204104220,30303106601,30303106601,30504113708,30101100606,30102100804,30204104220,30103101913,0,0.26396893530663634,0.9326857173878901
3,13,male,accom,153.01488456284653,-27.491170495448067,152.96495212434263,-27.37632096061324,5400,30204104204,30303106321,30303106321,30204104204,30102101214,0,0,0,0,0.2450219045111846,0.5813563903005801
4,9,male,mining,152.99189207242318,-27.5352242803889,153.20977496816965,-27.41266051378508,4459,30501111112,30101100305,30101100305,30501110531,30501111112,0,0,0,0,0.19165317035733667,0.20127239647357786
5,6,female,accom,152.98739307290845,-27.484064231269983,152.9910605345698,-27.48903825445452,1776,30102101107,30501110519,30501110519,30103101511,30102101107,30501111109,30403109615,0,0,0.1903897564181526,0.5163672010159294
6,9,male,transport,153.16887062893895,-27.57660990766132,153.06946148553288,-27.5505072936466,2881,30101100411,30501110703,30501110703,30501110538,30101100411,0,0,0,0,0.19032719045809096,0.1999866328230102
7,8,female,other,153.01993083360048,-27.39619304918194,153.03149743586016,-27.4568424304969,2847,30306107809,30101100422,30101100422,30101100125,30306107809,30303106032,0,0,0,0.13162702365728363,0.2536789747274292
8,5,male,health,152.9969690479758,-27.47240230079343,153.28502720588983,-27.48520329016392,5387,30102101305,30204104205,30204104205,30401108412,30103102122,30102101305,30401108505,0,0,0.36660912588898076,1.0660777557573766
9,9,female,financial,153.19545009494112,-27.351680724756253,153.2137637686872,-27.505464817504453,4715,30201102227,30101100407,30101100407,30101100607,30501110917,30202103120,30201102227,30504113218,30101100141,0.25993748502655023,0.7537077774466845
10,13,male,construction,153.26005150433474,-27.45446136564641,153.08385784931903,-27.486321458235007,4850,30201102604,30501110908,30501110908,30501110536,30201102604,0,0,0,0,0.10596703133952887,0.12121195033229148
11,8,female,health,153.15229882390986,-27.46997138106815,153.28691079018455,-27.505464817504453,2953,30102101324,30504113208,30504113208,30305107625,30103101818,30102101324,30501111207,0,0,0.3417696088908992,0.8082533475299678
12,15,female,construction,153.01385604988823,-27.467326662342927,152.99420332858028,-27.5505072936466,693,30102100728,30504113309,30504113309,30102100728,30401108505,30101100607,30402108805,0,0,0.2707181860748376,1.2547912550413243
13,4,female,financial,152.99728602199568,-27.554858661467737,153.0248934616967,-27.497155448946643,4956,30101100125,30503112905,30503112905,30101100125,30306107905,30302105327,0,0,0,0.22830798103880617,0.4795007531280942
14,10,female,manufacturing,153.1125475854038,-27.566562698457627,153.09081028142964,-27.40288004420016,4578,30404110335,30102101315,30102101315,30403109615,30102101230,30102100812,30404110335,0,0,0.39684349559690313,0.9532561332690974
15,5,male,professional,153.08368725725077,-27.563875482392916,153.01120558349749,-27.475078950837364,5275,30301104914,30201102406,30201102406,30201102510,30301104914,0,0,0,0,0.16246076637540618,0.2042151506232821
16,11,female,professional,152.97709096102318,-27.468269074969157,153.00918977013583,-27.43955244519855,4425,30305107514,30102101327,30102101327,30305107514,0,0,0,0,0,0.27198766134745606,0.27198766134745606
17,13,male,admin,152.94843450451594,-27.523984442943934,153.0718675424056,-27.363308047181743,4746,30102101324,30202102820,30202102820,30102101324,30402109010,30202103120,30102100815,0,0,0.3270432530605421,1.0834196065778006
18,11,female,publicAdmin,153.03033486633524,-27.555550753025173,153.02680284684257,-27.43276478317565,2654,30303106513,30202102830,30202102830,30504113717,30303106513,0,0,0,0,0.17213934457288996,0.2199119608671058
19,14,female,utilities,153.08283554389902,-27.48720343524102,153.02221475297998,-27.45465181159828,2401,30101100319,30303106324,30303106324,30403109706,30501111207,30503112620,30101100319,30501111202,0,0.14448726739673703,0.5580488374417023
20,8,female,financial,152.99127973561878,-27.468729010024592,153.27117521331547,-27.43660477326433,70,30501110531,30101100442,30101100442,30103102101,30501110531,30304106809,30303106316,0,0,0.18280626675507725,0.34615449600394754
21,12,female,construction,153.28623446769376,-27.517363261223075,152.99629035518328,-27.627226858278323,1791,30503112905,30303106316,30303106316,30503112905,30302105312,30502111411,30304106820,30502111301,0,0.12828331113667338,0.45784863465750003
22,9,male,professional,153.08368725725077,-27.38265053923855,153.20428326980547,-27.475078950837364,2489,30302105712,30101100430,30101100430,30302105712,0,0,0,0,0,0.15420593473541644,0.15420593473541644
23,5,male,professional,153.23398594902363,-27.44876459944616,153.21001340949346,-27.494565053291147,4434,30501110519,30102100727,30102100727,30306107807,30501110519,0,0,0,0,0.24775207712702535,0.3618775449219582
24,10,female,retail,153.24662153936032,-27.44632122689411,153.03965540845553,-27.627226858278323,5731,30201102327,30102100722,30102100722,30101100321,30201102327,30101100127,30306107711,30101100614,0,0.32673668766883335,0.9500205327339426
